City,Country,Lat,Lng,Humidity,Hotel Name
lorengau,PG,-2.0226,147.2712,86,Seeadler Bay Hotel
kapshagay,KZ,43.8833,77.0833,32,Казино Ривиера
mega,ET,4.05,38.3,91,No hotel found
syktyvkar,RU,61.6764,50.8099,76,Гостиница KHOL.IN
itoigawa,JP,37.0333,137.85,75,たつみ旅館
lamia,GR,38.9,22.4333,80,HOTEL Νέον Άστρον
juneau,US,58.3019,-134.4197,100,Ramada by Wyndham Juneau
la'ie,US,21.6477,-157.9253,65,Courtyard by Marriott
kyzyl-suu,KG,42.3414,78.0056,64,кафе суусая
ribeira brava,PT,32.65,-17.0667,78,Cheerfulway Bravamar Hotel
niafunke,ML,15.9322,-3.9906,34,No hotel found
svetlyy,RU,54.675,20.1347,91,Гостиница Спортивная
fada,NG,9.5667,8.3,95,No hotel found
olinda,BR,-8.0089,-34.8553,88,Fidji Motel
pompeia,BR,-22.1086,-50.1717,86,Hotel Pousada Vale do Sol
umm kaddadah,SD,13.6017,26.6876,53,No hotel found
swakopmund,,-22.6833,14.5333,90,Amanpuri Travellers Lodge
fuglafjordur,FO,62.244,-6.814,94,No hotel found
rondonopolis,BR,-16.4708,-54.6356,75,Hotel Sumaré
taksimo,RU,56.3444,114.8794,54,No hotel found
kencong,ID,-8.2833,113.3667,59,Grand Gumuk Mas Hotel
dauphin,CA,51.1494,-100.0502,41,No hotel found
puerto cabezas,NI,14.0351,-83.3888,95,Hotel Caribe
masuguru,TZ,-11.3667,38.4167,92,No hotel found
kumylzhenskaya,RU,49.8809,42.5898,80,No hotel found
coquimbo,CL,-29.9533,-71.3436,76,Hotel Iberia
san pedro del parana,PY,-26.8333,-56.2,86,No hotel found
siwa oasis,EG,29.2041,25.5195,49,فندق الكيلانى
visegrad,BA,43.7847,19.2992,94,Andrićev konak
dawson creek,CA,55.7666,-120.2362,71,Comfort Inn
pandaria,IN,22.2333,81.4167,31,No hotel found
antsiranana,MG,-12.2787,49.2917,76,Central
beledweyne,SO,4.7358,45.2036,79,Hotel Medina
eiterfeld,DE,50.7667,9.8,56,Meissmers
mutuali,MZ,-14.8706,37.0044,76,No hotel found
sitka,US,57.0531,-135.33,56,Aspen Suites Hotel
juticalpa,HN,14.65,-86.2,95,No hotel found
atasu,KZ,48.6814,71.6433,33,Диана
les cayes,HT,18.2,-73.75,84,No hotel found
kill devil hills,US,36.0307,-75.676,71,Mariner Days Inn & Suites
freetown,SL,8.484,-13.2299,83,Formal Leona hotel
san andres,CO,12.5847,-81.7006,89,Hotel Decameron Isleño
mato verde,BR,-15.3972,-42.8664,74,No hotel found
ngereklmadel,PW,7.4883,134.4856,78,No hotel found
khanty-mansiysk,RU,61.0042,69.0019,66,Гамма
colonia,DE,50.9333,6.95,74,Wasserturm Hotel Cologne
perm,RU,58.0174,56.2855,81,Спутник
garoowe,SO,8.4054,48.4845,66,Red Sea
mahdia,TN,35.5047,11.0622,65,La Maison Bleue
boone,US,39.0334,-92.3335,86,Welcome Inn
whakatane,NZ,-37.9585,176.9854,75,Whakatane Hotel
margate,GB,51.3813,1.3862,94,The Reading Rooms
matoury,GF,4.8483,-52.3317,94,La Marmotte
yuzhno-kurilsk,RU,44.0306,145.8556,86,Dom Druzhby
palmas de monte alto,BR,-14.2672,-43.1619,48,No hotel found
berezovyy,RU,51.6667,135.7,30,No hotel found
tandalti,SD,13.0167,31.8667,60,No hotel found
marsa alam,EG,25.0757,34.8918,45,Blue House Hotel
cidade velha,CV,14.9167,-23.6167,78,Encosta Azul
sirte,LY,31.2089,16.5887,70,فندق المدينة-سرت
ankang,CN,32.68,109.0172,76,金友商务酒店
holualoa,US,19.6228,-155.9522,82,Kona Hotel
tidjikja,MR,18.5564,-11.4271,28,No hotel found
kalmunai,LK,7.4167,81.8167,78,Saji new food
kavieng,PG,-2.5744,150.7967,71,Kavieng Hotel
katra,IN,32.9833,74.95,72,HOTEL OM HARI RESIDENCY
suntar,RU,62.1444,117.6319,56,No hotel found
bhakkar,PK,31.6253,71.0657,32,No hotel found
kosciusko,US,33.0576,-89.5876,96,President's Inn
san luis de la loma,MX,17.2706,-100.8939,78,No hotel found
monteagudo,BO,-19.8167,-63.9833,81,Residencial San José
praia da vitoria,PT,38.7333,-27.0667,100,Salles
saldanha,ZA,-33.0117,17.9442,81,Hoedjesbaai
thomson,US,33.4707,-82.5046,84,Days Inn by Wyndham Thomson
rupert,US,42.6191,-113.6772,41,No hotel found
refahiye,TR,39.9008,38.7667,85,Esadaş Otel
conde,BR,-7.2597,-34.9075,100,Paladino
pirallahi,AZ,40.4723,50.333,83,No hotel found
tindouf,DZ,27.6711,-8.1474,63,محمد بوسبي
hargeysa,SO,9.56,44.065,54,No hotel found
keetmanshoop,,-26.5833,18.1333,49,Canyon Hotel
kailua-kona,US,19.6406,-155.9956,83,Kona Seaside Hotel
sebezh,RU,56.2955,28.4654,95,Прибалтийский
los frentones,AR,-26.4077,-61.4137,73,No hotel found
temiskaming shores,CA,47.4938,-79.7153,87,Waterfront Inn
canillo,AD,42.5833,1.6667,75,Hotel Roc de Sant Miquel
bamboo flat,IN,11.7,92.7167,83,Hotel Megapode Nest
okeechobee,US,27.2439,-80.8298,84,Holiday Inn Express & Suites Lake Okeechobee
viedma,AR,-40.8135,-62.9967,67,Níjar
puerto lempira,HN,15.2667,-83.7667,90,Hotel Samaritano
crieff,GB,56.3727,-3.8389,99,Tower Hotel
malya,TZ,-2.9833,33.5167,65,No hotel found
baruun-urt,MN,46.6806,113.2792,54,No hotel found
aswan,EG,24.0934,32.907,22,Yaseen hotel
bandarbeyla,SO,9.4942,50.8122,72,No hotel found
mariinsk,RU,56.2139,87.7472,64,Фараон
wotho,MH,10.1657,166.0102,78,No hotel found
tarnogskiy gorodok,RU,60.4997,43.5761,66,Русь
cova figueira,CV,14.8905,-24.2934,79,No hotel found
bac lieu,VN,9.285,105.7244,75,Khách sạn Bạc Liêu
richards bay,ZA,-28.783,32.0377,91,Bon Hotel Waterfront
filadelfia,US,39.9523,-75.1638,65,"The Ritz-Carlton, Philadelphia"
biltine,TD,14.5333,20.9167,28,فندق ثلاث نجوم بلتن
chibougamau,CA,49.9168,-74.3659,69,No hotel found
rockport,US,28.0206,-97.0544,92,Holiday Inn Express & Suites
kourou,GF,5.1552,-52.6478,87,SCI Horizon
callao,PE,-12.0667,-77.15,73,Casa Ronald
abepura,ID,-2.6333,140.5833,78,Yoyo
panacan,PH,9.2463,118.4082,73,Gorayan Lodge
vila franca do campo,PT,37.7167,-25.4333,94,Vinha d'Areia Beach Hotel
kearney,US,40.6995,-99.0815,54,Days Inn
wulingyuan,CN,29.3494,110.5441,99,张家界武陵居客栈
nouadhibou,MR,20.931,-17.0347,78,Hotel valencia
colima,MX,19.1667,-104.0,68,No hotel found
dudhi,IN,24.2167,83.25,28,No hotel found
lerwick,GB,60.1545,-1.1494,93,Grand Hotel
tobelo,ID,1.7284,128.0095,76,JJ Guesthouse
lubuklinggau,ID,-3.3,102.8667,79,Cozy Style
chimbote,PE,-9.0853,-78.5783,83,Hostal Diamante Chimbote
port moresby,PG,-9.4431,147.1797,58,The Sanctuary Hotel and Spa
hermantown,US,46.8069,-92.2383,84,"Holiday Inn Express & Suites Duluth North - Miller Hill, an IHG Hotel"
batangafo,CF,7.3008,18.2833,97,No hotel found
janoshalma,HU,46.2986,19.3258,78,No hotel found
mopti,ML,14.6667,-4.0,33,No hotel found
taulaga,AS,-11.0553,-171.0883,70,No hotel found
greymouth,NZ,-42.4667,171.2,66,Recreation Hotel
ariquemes,BR,-9.9133,-63.0408,84,Aquarius
vilyuysk,RU,63.7553,121.6247,45,Мария
yuscaran,HN,13.9333,-86.85,96,Hotel Yuscarán
zaza del medio,CU,21.9961,-79.3669,89,Islazul Villa Los Laureles
al kharijah,EG,25.4514,30.5464,29,Kharga Hotel
popondetta,PG,-8.7537,148.2534,54,No hotel found
lazaro cardenas,MX,17.9583,-102.2,81,Hotel Sol del Pacífico
grand falls-windsor,CA,48.9332,-55.6649,91,Hotel Robin Hood
